#{"t_start": 1721083900.5577693, "env_id": "fertilization-v0"}
r,l,t
-1900.0,30,389.473531
-2100.0,30,390.328903
-1760.0,30,391.195371
-1640.0,30,392.118038
-1960.0,30,393.023082
-1940.0,30,393.896353
-1900.0,30,394.773237
-1660.0,30,395.643595
-1220.0,30,396.507158
-1600.0,30,397.382887
-1760.0,30,398.235088
-1500.0,30,399.101576
-1440.0,30,399.967412
-1860.0,30,400.839162
-1340.0,30,401.744874
-1880.0,30,402.697039
